F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,emotion,actor,gender
24.263884,0.10417108,21.653511,23.90738,27.101028,5.4475174,104.436584,113.43721,31.389978,8.258454,0.110050865,1.41079,0.002538118,0.011108265,0.2327144,0.23017628,3.259262,1.5737916,3.9384446,2.2485027,0.036234986,1.5293608,10.512092,1.7119087,6.1012073,1.387863,8.01175,1.5595549,5.5130167,1.9625193,0.037904795,0.9456391,1.4894191,0.72059,2.2673113,1.2860848,2.7624772,1.4539231,19.43091,0.30885774,531.9374,0.54925865,1055.4778,0.2715102,-139.4837,-0.6357872,1477.9248,0.22942072,757.23315,0.307361,-141.36519,-0.603904,2510.8264,0.13965635,654.0625,0.27357265,-143.5905,-0.5718592,-11.643292,-0.5451915,19.907448,0.37282008,0.07354607,0.3928331,-0.010039252,-1.2036864,0.103487305,0.5001031,29.751476,0.45631248,4.0904922,2.5047286,17.560534,0.8642047,5.1781383,3.1178343,-2.23288,10.586953,0.05806425,0.011219681,0.0057126535,2.1276596,0.9259259,0.33666667,0.22691163,0.53999996,0.48026034,-47.939644,neutral,1,male
25.167889,0.103560604,23.178247,25.003677,27.69986,4.521612,56.695114,18.043581,9.7030525,9.479507,0.113809116,1.4049448,0.00364856,0.014938576,0.23316912,0.22952056,3.1340501,1.3768517,3.7782707,2.3283637,0.036783405,1.5466146,10.702036,1.6078274,5.3435054,1.4433757,10.708869,1.1018031,5.4290843,2.1013966,0.023065848,0.8327043,1.6825556,0.57338804,3.289558,0.91163033,4.428456,0.7815568,21.039085,0.2991904,562.9193,0.5428217,1038.5878,0.26963314,-139.97949,-0.62607425,1526.3619,0.2433621,737.9295,0.27437708,-140.79219,-0.60015094,2538.4785,0.13409537,647.218,0.34068382,-142.90822,-0.56999975,-12.260626,-0.5311463,19.767748,0.37127256,0.076232396,0.36270314,-0.009698524,-1.099891,0.10423839,0.5422924,27.710243,0.4797862,6.162842,1.6796167,19.81024,0.6906865,2.662904,6.1227465,-2.2346468,10.659966,0.050419495,0.012740945,0.005434284,2.4096386,1.2232416,0.2575,0.08982622,0.53499997,0.48520613,-47.34233,neutral,1,male
24.186604,0.10349491,22.353912,23.728384,27.093287,4.739374,209.15256,255.81078,13.067563,11.153259,0.12920983,1.429387,0.0034784055,0.009519156,0.26552525,0.26204684,3.9736674,2.6112926,3.4761539,2.3303392,0.04458306,1.4945037,11.385279,1.6172523,6.0793104,1.6497349,9.165839,1.2119746,4.260278,2.83158,0.04545255,1.8597615,1.602726,0.73548484,2.7564082,1.1649373,3.1501403,3.5114918,20.13977,0.33050853,484.23303,0.47878334,1178.2472,0.19979116,-136.13573,-0.6733555,1447.8303,0.20153241,825.92786,0.28590408,-135.41458,-0.6525879,2462.3523,0.113135055,702.81915,0.39904526,-137.77107,-0.6175622,-12.270457,-0.51902777,20.737755,0.36630678,0.074969396,0.34881195,-0.012636586,-0.8633165,0.116554596,0.5303537,30.6783,0.45956096,5.3238087,2.322863,16.05647,0.8530443,-0.70137125,-24.413502,-1.5646839,9.447987,0.055127468,0.014029234,0.0077294274,2.1538463,0.63091487,0.545,0.175,0.6766666,0.414836,-45.849762,neutral,1,male
24.26876,0.09604212,22.443832,24.47897,26.744179,4.3003464,159.00505,128.23387,31.331654,10.120683,0.12532137,1.483866,0.005231081,0.012053807,0.26482025,0.25958917,2.9702933,1.7921382,3.4305444,1.9977579,0.041550297,1.5513136,12.687795,1.3087463,5.5020866,1.809225,8.347507,1.3755572,4.54871,2.3985748,0.03373958,1.1395651,1.6023065,0.7280515,2.8690138,0.914336,0.5362125,7.349874,20.31267,0.30877435,501.77017,0.5521115,1119.4806,0.21958011,-136.2682,-0.6612372,1456.5398,0.252735,786.9503,0.29469013,-138.57277,-0.622872,2463.8567,0.14345185,691.257,0.26973632,-141.33788,-0.5829613,-12.642012,-0.5857989,21.029684,0.42885858,0.0660514,0.421549,-0.010524917,-1.1061114,0.11072749,0.5746957,29.61157,0.4948468,6.749358,1.5439327,17.311268,0.76809585,2.2008715,7.550289,-2.113302,10.640631,0.05681534,0.012168602,0.008324271,2.2222223,0.9771987,0.3333333,0.26737404,0.5,0.44570166,-46.193146,neutral,1,male
24.898132,0.11789683,22.419266,24.678062,28.138033,5.718767,214.87607,234.97768,32.979195,25.259748,0.087677546,1.3176192,0.0033764495,0.013323441,0.17805266,0.17467621,3.044426,1.7310314,1.7729123,1.0035517,0.02461701,1.4629892,12.063691,1.5017847,6.9972,1.4032323,8.532743,1.341068,5.5954924,2.0434136,0.041234568,2.0068164,1.6430241,0.8309556,3.814314,0.8611991,4.1585236,0.8058556,24.39287,0.30561173,495.10394,0.47911122,1099.0536,0.21926503,-147.38466,-0.5745469,1427.8462,0.18533461,830.0441,0.4094479,-149.99998,-0.5338013,2453.594,0.11177072,664.39844,0.39049277,-152.22731,-0.5021672,-13.886098,-0.497543,22.361008,0.37032315,0.07280826,0.35223204,-0.012349931,-0.8056604,0.07048265,0.5114096,32.200176,0.42128864,7.360875,1.405707,17.143648,0.84792596,5.29292,3.112899,-3.3775508,11.813896,0.062112257,0.010664028,0.00793358,2.840909,1.4409221,0.182,0.116172284,0.4083333,0.441717,-50.563885,calm,1,male
23.718447,0.10858385,21.63614,23.156946,25.684698,4.0485573,136.46873,111.71714,27.267054,5.87689,0.089175306,1.3154569,0.0022099137,0.026123231,0.17492354,0.17271362,2.0636442,1.562447,1.9707421,1.1798253,0.024907839,1.551133,13.907731,1.3920959,6.0688605,1.7373273,7.825207,1.3817426,6.455959,1.8100178,0.030928731,1.4117743,1.3119576,0.8989796,3.5122843,0.8793992,3.021776,1.4278816,24.244877,0.24840857,439.6793,0.39701673,1134.1702,0.19216415,-135.67476,-0.6600828,1401.6663,0.18093964,854.09924,0.32223946,-138.62874,-0.60812145,2387.5386,0.09483115,693.4985,0.32291764,-141.69508,-0.56531334,-15.076423,-0.44320545,24.02501,0.3236611,0.06269487,0.44422084,-0.011186947,-0.7518251,0.061722033,0.7330977,33.09678,0.421569,9.404669,1.5846343,13.707835,0.9567141,8.243361,1.8835152,-2.074193,10.450689,0.06885262,0.012082931,0.006523952,2.2284124,1.4124295,0.23200001,0.13905394,0.452,0.4453942,-50.198994,calm,1,male
24.561495,0.2712408,22.148478,23.513926,25.099934,2.951456,525.5623,365.43735,31.187918,19.770319,0.12689193,1.2839754,0.0031251577,0.015381302,0.26417074,0.26104558,2.6158202,1.2235212,2.1608102,0.9920492,0.036013115,1.400088,12.654585,1.6276461,6.2943826,1.7141014,8.596995,1.3736061,5.0430336,2.2849102,0.017714614,0.87714475,1.2396864,0.7740834,3.9935465,0.60179293,3.2777023,1.3834083,19.053823,0.547337,482.72998,0.5072713,1134.0421,0.19149986,-129.08112,-0.7115424,1413.0884,0.2235659,841.43134,0.28190842,-130.5928,-0.6749821,2447.6548,0.12960257,648.01385,0.34893695,-133.29134,-0.6346981,-11.665205,-0.7213085,20.081942,0.5016672,0.055349246,0.426189,-0.01116217,-0.8494757,0.08054369,0.47623175,31.62625,0.50143814,4.7369266,2.849128,15.597682,0.9821553,2.3271415,7.13259,-1.3060004,9.362518,0.05521473,0.0124471495,0.009866672,2.2922635,1.4534885,0.25,0.19401032,0.414,0.4461659,-47.324703,calm,1,male
23.421627,0.07158886,22.393826,23.624763,24.891598,2.4977722,150.53407,203.80762,35.221867,31.733015,0.12553364,1.2978243,0.0044454797,0.0140622575,0.26471436,0.26026887,2.6319816,1.6037551,2.6470358,2.120679,0.03445699,1.3843713,14.295753,1.3781906,6.1606054,1.6065542,8.965935,1.2351055,5.6062894,1.8433691,0.019984392,1.2752361,1.0929825,0.7687302,3.9933448,0.7408112,3.751594,3.0738297,20.40682,0.6276044,471.86057,0.53042704,1146.4519,0.21469255,-130.22487,-0.70294744,1407.3717,0.2100276,830.6828,0.29171523,-132.42705,-0.6617953,2444.4827,0.121924974,623.43274,0.2908796,-135.45868,-0.6177079,-12.931984,-0.43720052,21.852444,0.31214213,0.05420145,0.36156282,-0.01114035,-0.8447645,0.080347545,0.5407812,34.06665,0.40315562,4.5031886,2.3304114,15.687706,0.8595891,3.4913168,4.2356386,-2.5031254,10.287963,0.052928347,0.010891255,0.007965978,2.0231214,0.87976545,0.41666666,0.14197026,0.5225,0.45860523,-46.895203,calm,1,male
22.426426,0.06941515,21.117374,22.197914,23.753294,2.6359196,267.23706,171.47754,17.181047,7.7708316,0.08178938,1.1778786,0.0023777408,0.034645755,0.16741939,0.16504166,1.6200035,1.0721326,1.7037739,0.87081283,0.01897167,1.287905,13.454055,1.3919016,6.4696693,1.6031176,8.174189,1.4050846,6.082413,2.0571513,0.017776249,0.7858633,1.3141614,0.9337866,4.1637387,0.53766245,0.57846546,7.8602405,20.233025,0.29314363,434.4635,0.40657592,1119.9097,0.2190759,-134.53401,-0.6613008,1370.6449,0.1684951,860.298,0.39250192,-137.7159,-0.6103026,2352.4358,0.097632684,632.53906,0.23267512,-140.0842,-0.57632494,-14.995341,-0.47834086,23.308058,0.3592094,0.04625627,0.66084236,-0.011939196,-0.7861874,0.042871222,0.5225192,31.845848,0.43617812,9.994029,1.1871116,14.6616335,0.92941034,7.5324883,2.2254252,-2.7020218,10.476967,0.06761725,0.011312352,0.0069017266,2.4390244,1.3736265,0.24599999,0.15081114,0.38333333,0.43808928,-52.330284,calm,1,male
23.79781,0.08482495,22.312828,23.383528,25.891163,3.5783348,185.25768,217.35413,36.39755,16.843348,0.090337835,1.0665548,0.0028981578,0.07102201,0.17346191,0.17056376,2.2794535,1.7774528,1.5814692,0.8577383,0.022020783,1.2157576,12.87178,1.5039265,4.8015494,2.310663,7.939583,1.3412966,5.266002,2.3343914,0.028895238,1.0860938,1.2911886,0.9222441,3.89779,0.7754476,0.67089486,8.548358,20.554998,0.3565951,432.57166,0.42121458,1184.2125,0.2197533,-141.60934,-0.6091534,1344.1626,0.15225214,882.6671,0.26995856,-144.02658,-0.56729966,2339.3127,0.08533351,685.23083,0.3274491,-146.43872,-0.53374404,-15.016877,-0.48568788,23.327948,0.3272485,0.057250626,0.43534207,-0.012905582,-0.7763083,0.05107659,0.49283767,34.47504,0.33551082,6.7410283,1.4727602,14.466353,0.94406235,5.1052613,3.3155036,-1.2532575,8.5297,0.06636746,0.010208015,0.009419464,2.255639,1.5228428,0.19666666,0.12565385,0.3757143,0.400102,-51.548443,calm,1,male
